식품명,식품대분류명,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식품중량
국밥_돼지머리,밥,137,15.94,6.7,5.16,0.16,900g
국밥_순대국밥,밥,75,10.38,3.17,2.28,0.17,900g
국밥_콩나물,밥,52,10.93,1.45,0.24,0.0,780g
기장밥,밥,166,36.77,3.44,0.57,0.0,200g
김밥,밥,140,19.98,4.84,4.55,0.0,230g
김밥_김치,밥,130,19.17,4.3,4.03,0.29,270g
김밥_날치알,밥,177,28.66,6.1,4.26,1.43,260g
김밥_돈가스,밥,202,31.64,5.77,5.81,1.33,320g
김밥_소고기,밥,179,25.78,6.46,5.56,0.03,250g
김밥_참치,밥,174,20.26,7.0,7.22,0.71,250g
김밥_채소,밥,158,26.65,4.6,3.65,0.14,280g
김밥_치즈,밥,177,22.1,6.24,7.03,0.21,270g
김밥_풋고추,밥,169,27.52,4.88,4.41,0.09,290g
덮밥_낙지,밥,150,24.12,5.88,3.34,2.16,350g
덮밥_닭고기,밥,125,14.82,11.4,2.18,1.07,410g
덮밥_돼지고기(제육),밥,202,16.86,9.43,10.77,1.98,470g
덮밥_불고기,밥,182,26.96,6.6,5.31,0.07,400g
덮밥_오징어,밥,135,21.94,7.18,2.01,0.66,360g
보리밥,밥,161,36.77,2.9,0.24,2.57,200g
볶음밥,밥,183,33.97,5.56,2.76,0.0,350g
볶음밥_계란,밥,225,24.23,6.62,11.28,0.17,260g
볶음밥_김치,밥,167,15.74,5.32,9.18,13.89,330g
볶음밥_새우,밥,172,22.85,6.31,6.14,0.71,370g
볶음밥_소고기,밥,176,21.76,7.59,6.48,0.08,260g
볶음밥_참치,밥,180,32.9,4.62,3.27,0.12,230g
볶음밥_채소,밥,182,28.74,4.72,5.39,0.29,260g
볶음밥_표고버섯,밥,184,31.79,3.36,4.81,0.0,300g
비빔밥,밥,142,18.84,6.86,4.32,0.05,450g
비빔밥_돌솥,밥,147,24.68,5.39,2.95,1.24,380g
비빔밥_육회,밥,147,22.92,6.39,3.36,4.45,300g
삼각김밥_참치마요네즈,밥,199,25.45,5.93,8.21,0.0,200g
수수밥,밥,161,35.02,3.16,0.92,0.08,200g
알밥,밥,128,15.75,4.73,5.11,2.3,330g
영양돌솥밥,밥,184,36.06,3.43,2.87,0.63,350g
오므라이스,밥,173,20.54,6.5,7.23,3.19,400g
자장밥,밥,122,15.57,4.27,4.72,0.03,470g
잡곡밥,밥,146,29.33,5.3,0.87,0.32,200g
잡채밥,밥,150,25.79,4.02,3.42,0.05,550g
주먹밥_소고기,밥,178,34.73,4.76,2.18,0.23,200g
짬뽕밥,밥,72,11.65,3.2,1.4,1.34,900g
차조밥,밥,157,34.86,2.84,0.65,0.04,200g
찰밥,밥,153,33.56,4.39,0.18,0.49,280g
초밥_모듬,밥,160,26.72,9.66,1.59,1.4,380g
초밥_유부초밥,밥,194,29.82,5.78,5.77,1.99,200g
카레라이스,밥,108,20.74,3.11,1.4,0.16,480g
콩나물밥,밥,123,22.39,4.68,1.58,0.04,320g
콩밥_검정콩,밥,165,34.3,4.53,1.12,0.0,200g
콩밥_완두콩,밥,138,31.25,2.95,0.16,0.0,200g
하이라이스,밥,112,21.34,4.02,1.13,0.0,360g
현미밥,밥,172,38.9,3.1,0.47,0.0,230g
회덮밥_모듬,밥,145,17.76,9.1,4.15,3.07,410g
가래떡,빵,195,43.73,3.92,0.51,0.0,100g
경단_깨,빵,240,38.58,6.28,6.72,0.61,100g
꿀떡,빵,228,49.48,3.74,1.73,0.29,100g
모듬찰떡,빵,218,42.27,6.78,2.44,2.98,100g
